"","Commune","Pourcentage de non"
"1","Masein (GR)",66.7
"2","Trogen (AR)",64.5
"3","Lucerne (LU)",64.1
"4","Kilchberg (BL)",61.6
"5","Vals (GR)",61.1
"6","Rifferswil (ZH)",60.9
"7","Rongellen (GR)",60.9
"8","Bâle (BS)",60.7
"9","Trin (GR)",60.7
"10","Starrkirch-Wil (SO)",60.6
"11","Kaiserstuhl (AG)",60.2
"12","Flerden (GR)",59.8
"13","Muntogna da Schons (GR)",59.7
"14","Malans (GR)",59.5
"15","Celerina/Schlarigna (GR)",59.4
"16","Sils im Engadin/Segl (GR)",59.4
"17","Windisch (AG)",59.4
"18","Lenzburg (AG)",59.4
"19","Mauraz (VD)",59.4
"20","Vevey (VD)",59.4
"21","Rüttenen (SO)",58.6
"22","Medel (Lucmagn) (GR)",58.5
"23","Vaux-sur-Morges (VD)",58.4
"24","Domleschg (GR)",58.2
"25","Sursee (LU)",58
"26","Gottlieben (TG)",57.4
"27","Bursins (VD)",57.2
"28","Flims (GR)",57.1
"29","Saint-Saphorin (Lavaux) (VD)",57.1
"30","Regensberg (ZH)",57
"31","Sempach (LU)",56.7
"32","Scuol (GR)",56.7
"33","Coire (GR)",56.7
"34","Zofingue (AG)",56.7
"35","Mauensee (LU)",56.4
"36","Lichtensteig (SG)",56.2
"37","Chavannes-le-Veyron (VD)",56
"38","Saas-Fee (VS)",56
"39","Bergün Filisur (GR)",55.6
"40","Bever (GR)",55.5
"41","Flurlingen (ZH)",55.3
"42","Chavannes-des-Bois (VD)",55
"43","Lüsslingen-Nennigkofen (SO)",54.9
"44","Trélex (VD)",54.9
"45","Oberkirch (LU)",54.7
"46","Untereggen (SG)",54.7
"47","Brugg (AG)",54.7
"48","Mellikon (AG)",54.7
"49","Clarmont (VD)",54.7
"50","Adligenswil (LU)",54.5
