"","Comune","Sì all'iniziativa anti-burqa (2021)","Sì al divieto di costruzione di minareti (2009)","Scarto (in punti percentuali)"
"1","Saulcy JU",69.5,39.8,29.7
"2","Finhaut VS",73.2,46,27.2
"3","Tartegnin VD",64.6,40.3,24.3
"4","Vouvry VS",65.1,42.7,22.4
"5","Corcelles-près-Concise VD",56,34.2,21.8
"6","Villarsel-sur-Marly FR",53.1,32.4,20.7
"7","Pleigne JU",73.4,54.7,18.7
"8","Arnex-sur-Nyon VD",54.5,36,18.5
"9","Mettembert JU",62.1,43.6,18.5
"10","Prévonloup VD",65.4,47.1,18.3
"11","Orges VD",71.2,53.6,17.6
"12","Pierrafortscha FR",64.6,48.4,16.2
"13","Oberrieden ZH",61.1,45,16.1
"14","Develier JU",64.4,48.6,15.8
"15","Marchissy VD",48.9,33.1,15.8
"16","Boncourt JU",68.1,52.3,15.8
"17","Roches BE BE",89.1,73.4,15.7
"18","Aclens VD",64.3,48.7,15.6
"19","Coinsins VD",64.4,48.9,15.5
"20","Courchapoix JU",65.2,49.7,15.5
"21","Borex VD",54.2,38.9,15.3
"22","Bogis-Bossey VD",52.5,37.2,15.3
"23","Chevilly VD",53,37.8,15.2
"24","Le Chenit VD",64.2,49.4,14.8
"25","Assens VD",61.4,46.6,14.8
"26","Juriens VD",58.3,43.5,14.8
"27","Fahy JU",75.3,60.6,14.7
"28","Dompierre VD",65.3,50.9,14.4
"29","Dorénaz VS",67.7,53.6,14.1
"30","Grandfontaine JU",67.8,53.7,14.1
"31","Vérossaz VS",61.7,47.8,13.9
"32","Soyhières JU",75.2,61.4,13.8
"33","Chessel VD",70.6,56.8,13.8
"34","Grancy VD",49.5,35.8,13.7
"35","Fontenais JU",59.3,45.6,13.7
"36","Longirod VD",60.6,47,13.6
"37","Avenches VD",64.4,50.9,13.5
"38","Rossinière VD",65.4,52.1,13.3
"39","Corcelles-près-Payerne VD",71.5,58.2,13.3
"40","Lully VD",46.7,33.6,13.1
"41","L'Abbaye VD",68.5,55.4,13.1
"42","Corseaux VD",57.8,44.7,13.1
"43","Movelier JU",72.7,59.8,12.9
"44","Allaman VD",56.2,43.6,12.6
"45","Chavannes-sur-Moudon VD",80.8,68.2,12.6
"46","Premier VD",57.3,44.7,12.6
"47","Hérémence VS",69.9,57.5,12.4
"48","Chéserex VD",53.5,41.1,12.4
"49","Missy VD",56.4,44,12.4
"50","Lussy-sur-Morges VD",45.5,33.2,12.3
