"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,64.6,64.6,35.4,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Die Gemeinde Aeugst am Albis hat die Burka-Initiative mit 64,6 Prozent Ja-Stimmen angenommen. Damit hat in Aeugst am Albis seit der Abstimmung über das Minarett-Verbot 2009 in Bezug auf muslimische Symbole ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 53 Prozent ein Nein in die Urne gelegt.","Les habitants d'Aeugst am Albis acceptent l'initiative ""pour l'interdiction de se dissimuler le visage"" avec 64,6 pour cent de oui. Aeugst am Albis a changé de camp: en 2009, cette commune refusait d'interdire la construction de minarets. Ce dimanche, elle approuve l'initiative ""pour l'interdiction de se dissimuler le visage"".","Nel comune di Aeugst am Albis l'Iniziativa anti-burqa è stata accetata con il 64,6 percento dei voti. Aeugst am Albis ha cambiato fazione: nel 2009, il comune aveva rifiutato di vietare la costruzione di minareti. Oggi approva invece l'iniziativa anti-burqa."
2,86.8,86.8,13.2,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","86,8 Prozent der Abstimmenden in der Gemeinde Affoltern am Albis haben Ja gesagt zur Burka-Initiative. Damit hat in Affoltern am Albis die Ablehnung von muslimischen Symbolen im Vergleich zur Abstimmung über die Minarett-Initiative im Novemeber 2009 noch einmal zugenommen. Damals betrug der Ja-Stimmen-Anteil 55 Prozent.","C'est oui à 86,8 pour cent à l'initiative ""pour l'interdiction de se dissimuler le visage"" à Affoltern am Albis. A Affoltern am Albis, le rejet des symboles de la communauté musulmane s'est fortement accentué au cours de ces onze dernières années. Le 29 novembre 2009, les électeurs de cette commune avaient dit oui à 55 pour cent à l'initiative pour l'interdiction des minarets.","Con il 86,8 percento di ""sì"", i cittadini del comune di Affoltern am Albis hanno accolto l'Iniziativa anti-burqa. A Affoltern am Albis lo scetticismo nei confronti dei simboli della comunità musulmana è ulteriormente cresciuto nel corso degli ultimi anni. Il 29 novembre 2009 gli elettori di questo comune avevano detto sì - con il 55 percento dei voti - all'iniziativa per il divieto dei minareti."
3,60.3,60.3,39.7,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","60,3 Prozent der Abstimmenden in der Gemeinde Bonstetten haben Ja gesagt zur Burka-Initiative. Damit hat in Bonstetten die Ablehnung von muslimischen Symbolen im Vergleich zur Abstimmung über die Minarett-Initiative im Novemeber 2009 noch einmal zugenommen. Damals betrug der Ja-Stimmen-Anteil 53,3 Prozent.","C'est oui à 60,3 pour cent à l'initiative ""pour l'interdiction de se dissimuler le visage"" à Bonstetten. A Bonstetten, le rejet des symboles de la communauté musulmane s'est fortement accentué au cours de ces onze dernières années. Le 29 novembre 2009, les électeurs de cette commune avaient dit oui à 53,3 pour cent à l'initiative pour l'interdiction des minarets.","Con il 60,3 percento di ""sì"", i cittadini del comune di Bonstetten hanno accolto l'Iniziativa anti-burqa. A Bonstetten lo scetticismo nei confronti dei simboli della comunità musulmana è ulteriormente cresciuto nel corso degli ultimi anni. Il 29 novembre 2009 gli elettori di questo comune avevano detto sì - con il 53,3 percento dei voti - all'iniziativa per il divieto dei minareti."
4,7.2,7.2,92.8,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","Nein zum Verhüllungsverbot in Hausen am Albis. Die Gemeinde hat die Burka-Initiative mit 92,8 Prozent abgelehnt. Damit hat in Hausen am Albis die Einstellung zu muslimischen Symbolen seit der Abstimmung über das Minarett-Verbot 2009 geändert: Damals hatte noch eine Mehrheit von 53,5 Prozent ein Ja in die Urne gelegt.","A Hausen am Albis, les habitants disent non à 92,8 pour cent à l'initiative ""pour l'interdiction de se dissimuler le visage"". Hausen am Albis a changé de camp: en 2009, cette commune voulait interdire la construction de minarets. Ce dimanche, elle rejette l'initiative voulant interdire ""pour l'interdiction de se dissimuler le visage"".","Nel comune di Hausen am Albis l'Iniziativa popolare ""Sì al divieto di dissimulare il proprio viso"" è stata respinta con il 92,8 percento dei voti. Hausen am Albis ha cambiato fazione: nel 2009, il comune voleva vietare la costruzione di minareti. Oggi respinge invece l'iniziativa anti-burqa."
5,46.4,46.4,53.6,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","53,6 Prozent der Stimmbürgerinnen und Stimmbürger von Hedingen sagen Nein zur Burka-Initiative. Damit hat in Hedingen die Einstellung zu muslimischen Symbolen seit der Abstimmung über das Minarett-Verbot 2009 geändert: Damals hatte noch eine Mehrheit von 50,8 Prozent ein Ja in die Urne gelegt.","Les habitants de Hedingen s'opposent à l'initiative ""pour l'interdiction de se dissimuler le visage"" avec 53,6 pour cent de non. Hedingen a changé de camp: en 2009, cette commune voulait interdire la construction de minarets. Ce dimanche, elle rejette l'initiative voulant interdire ""pour l'interdiction de se dissimuler le visage"".","No all'Iniziativa anti-burqa nel comune di Hedingen: i cittadini hanno bocciato il testo con il 53,6 percento dei voti. Hedingen ha cambiato fazione: nel 2009, il comune voleva vietare la costruzione di minareti. Oggi respinge invece l'iniziativa anti-burqa."
6,14,14,86,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","Keine Mehrheit für die Burka-Initiative in Kappel am Albis: Mit 3'430 Nein-Stimmen zu 557 Ja-Stimmen oder 86 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit hat in Kappel am Albis die Einstellung zu muslimischen Symbolen seit der Abstimmung über das Minarett-Verbot 2009 geändert: Damals hatte noch eine Mehrheit von 63,3 Prozent ein Ja in die Urne gelegt.","C'est non à 86 pour cent à l'initiative ""pour l'interdiction de se dissimuler le visage"" à Kappel am Albis. Kappel am Albis a changé de camp: en 2009, cette commune voulait interdire la construction de minarets. Ce dimanche, elle rejette l'initiative voulant interdire ""pour l'interdiction de se dissimuler le visage"".","Con il 86 percento di ""no"", i cittadini del comune di Kappel am Albis hanno bocciato l'Iniziativa anti-burqa. Kappel am Albis ha cambiato fazione: nel 2009, il comune voleva vietare la costruzione di minareti. Oggi respinge invece l'iniziativa anti-burqa."
7,38.5,38.5,61.5,"Knonau ZH","Knonau (ZH)","Knonau ZH","61,5 Prozent der Stimmbürgerinnen und Stimmbürger von Knonau sagen Nein zur Burka-Initiative. Damit hat in Knonau die Einstellung zu muslimischen Symbolen seit der Abstimmung über das Minarett-Verbot 2009 geändert: Damals hatte noch eine Mehrheit von 54,7 Prozent ein Ja in die Urne gelegt.","Les habitants de Knonau s'opposent à l'initiative ""pour l'interdiction de se dissimuler le visage"" avec 61,5 pour cent de non. Knonau a changé de camp: en 2009, cette commune voulait interdire la construction de minarets. Ce dimanche, elle rejette l'initiative voulant interdire ""pour l'interdiction de se dissimuler le visage"".","No all'Iniziativa anti-burqa nel comune di Knonau: i cittadini hanno bocciato il testo con il 61,5 percento dei voti. Knonau ha cambiato fazione: nel 2009, il comune voleva vietare la costruzione di minareti. Oggi respinge invece l'iniziativa anti-burqa."
8,35.4,35.4,64.6,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","In Maschwanden hat die Stimmbevölkerung die Burka-Initiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 64,6 Prozent verworfen. Damit hat in Maschwanden die Einstellung zu muslimischen Symbolen seit der Abstimmung über das Minarett-Verbot 2009 geändert: Damals hatte noch eine Mehrheit von 54,9 Prozent ein Ja in die Urne gelegt.","A Maschwanden, les habitants sont défavorables à l'initiative ""pour l'interdiction de se dissimuler le visage"" avec 64,6 pour cent de non. Maschwanden a changé de camp: en 2009, cette commune voulait interdire la construction de minarets. Ce dimanche, elle rejette l'initiative voulant interdire ""pour l'interdiction de se dissimuler le visage"".","I cittadini di Maschwanden si sono opposti all'iniziativa contro la dissimulazione del viso. Il testo è stato respinto con il 64,6 percento dei voti. Maschwanden ha cambiato fazione: nel 2009, il comune voleva vietare la costruzione di minareti. Oggi respinge invece l'iniziativa anti-burqa."
9,2.5,2.5,97.5,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","Nein zum Verhüllungsverbot in Mettmenstetten. Die Gemeinde hat die Burka-Initiative mit 97,5 Prozent abgelehnt. Damit hat in Mettmenstetten die Einstellung zu muslimischen Symbolen seit der Abstimmung über das Minarett-Verbot 2009 geändert: Damals hatte noch eine Mehrheit von 55,4 Prozent ein Ja in die Urne gelegt.","A Mettmenstetten, les habitants disent non à 97,5 pour cent à l'initiative ""pour l'interdiction de se dissimuler le visage"". Mettmenstetten a changé de camp: en 2009, cette commune voulait interdire la construction de minarets. Ce dimanche, elle rejette l'initiative voulant interdire ""pour l'interdiction de se dissimuler le visage"".","Nel comune di Mettmenstetten l'Iniziativa popolare ""Sì al divieto di dissimulare il proprio viso"" è stata respinta con il 97,5 percento dei voti. Mettmenstetten ha cambiato fazione: nel 2009, il comune voleva vietare la costruzione di minareti. Oggi respinge invece l'iniziativa anti-burqa."
10,51.5,51.5,48.5,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","Die Gemeinde Obfelden will, dass an öffentlich zugänglichen Orten niemand sein Gesicht verhüllen darf. Die Stimmbevölkerung hat die Burka-Initiative mit 51,5 Prozent angenommen. Damit ist in Obfelden die Skepsis gegenüber muslimischen Symbolen im Vergleich zur Abstimmung über das Minarett-Verbot im November 2009 zurück gegangen. Damals betrug der Ja-Stimmen-Anteil noch 58,6 Prozent.","A Obfelden, les habitants disent oui à 51,5 pour cent à l'initiative ""pour l'interdiction de se dissimuler le visage"". A Obfelden, le rejet des symboles de la communauté musulmane s'est accentué au cours de ces onze dernières années. Le 29 novembre 2009, les électeurs de cette commune avaient dit oui à 58,6 pour cent à l'initiative pour l'interdiction des minarets.","Nel comune di Obfelden l'Iniziativa popolare ""Sì al divieto di dissimulare il proprio viso"" è stata approvata con il 51,5 percento dei voti. A Obfelden lo scetticismo nei confronti dei simboli della comunità musulmana è diminuito nel corso degli ultimi anni. Il 29 novembre 2009 gli elettori di questo comune avevano detto sì - con il 58,6 percento dei voti - all'iniziativa per il divieto dei minareti."
