"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,36.2,36.2,63.8,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Aeugst am Albis ist gegen die Einführung einer elektronischen Identität: Die Gemeinde hat das E-ID-Gesetz mit 63,8 Prozent Nein verworfen. Aeugst am Albis hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Les habitants d'Aeugst am Albis rejettent la loi sur les services d'identification électronique avec 63,8 pour cent de non. Aeugst am Albis a rejeté la loi, tout comme son canton.","Nel comune di Aeugst am Albis la legge sull'identificazione elettronica è stata bocciata con il 63,8 percento dei voti. Il comune di Aeugst am Albis bocciando la legge si è espresso come il suo cantone."
2,62.5,62.5,37.5,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","62,5 Prozent der Stimmbürgerinnen und Stimmbürger in Affoltern am Albis haben Ja gesagt zum E-ID-Gesetz. Affoltern am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","C'est oui à 62,5 pour cent à la loi sur les services d'identification électronique à Affoltern am Albis. Affoltern am Albis a approuvé la loi, contrairement à son canton.","Con il 62,5 percento di ""sì"", i cittadini del comune di Affoltern am Albis hanno accolto la legge sull'identificazione elettronica. Il comune di Affoltern am Albis approvando la legge è andato controcorrente rispetto al suo cantone."
3,83.4,83.4,16.6,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","83,4 Prozent der Stimmbürgerinnen und Stimmbürger in Bonstetten haben Ja gesagt zum E-ID-Gesetz. Bonstetten hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","C'est oui à 83,4 pour cent à la loi sur les services d'identification électronique à Bonstetten. Bonstetten a approuvé la loi, contrairement à son canton.","Con il 83,4 percento di ""sì"", i cittadini del comune di Bonstetten hanno accolto la legge sull'identificazione elettronica. Il comune di Bonstetten approvando la legge è andato controcorrente rispetto al suo cantone."
4,58,58,42,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","58 Prozent der Stimmbürgerinnen und Stimmbürger von Hausen am Albis haben sich für das E-ID-Gesetz ausgesprochen. Hausen am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","A Hausen am Albis, les habitants disent oui à 58 pour cent à la loi sur les services d'identification électronique. Hausen am Albis a approuvé la loi, contrairement à son canton.","Nel comune di Hausen am Albis la legge sull'identificazione elettronica è stata approvata con il 58 percento dei voti. Il comune di Hausen am Albis approvando la legge è andato controcorrente rispetto al suo cantone."
5,61.3,61.3,38.7,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Mit 9'014 Ja zu 5'694 Nein hat sich Hedingen für das E-ID-Gesetz ausgesprochen. Das entspricht 61,3 Prozent. Hedingen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Les habitants de Hedingen approuvent la loi sur les services d'identification électronique avec 61,3 pour cent de oui. Hedingen a approuvé la loi, contrairement à son canton.","Sì alla legge sull'identificazione elettronica nel comune di Hedingen: i cittadini hanno approvato il testo con il 61,3 percento dei voti. Il comune di Hedingen approvando la legge è andato controcorrente rispetto al suo cantone."
6,60.7,60.7,39.3,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","60,7 Prozent der Stimmbürgerinnen und Stimmbürger in Kappel am Albis haben Ja gesagt zum E-ID-Gesetz. Kappel am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","C'est oui à 60,7 pour cent à la loi sur les services d'identification électronique à Kappel am Albis. Kappel am Albis a approuvé la loi, contrairement à son canton.","Con il 60,7 percento di ""sì"", i cittadini del comune di Kappel am Albis hanno accolto la legge sull'identificazione elettronica. Il comune di Kappel am Albis approvando la legge è andato controcorrente rispetto al suo cantone."
7,58.2,58.2,41.8,"Knonau ZH","Knonau (ZH)","Knonau ZH","Mit 9'781 Ja zu 7'016 Nein hat sich Knonau für das E-ID-Gesetz ausgesprochen. Das entspricht 58,2 Prozent. Knonau hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Les habitants de Knonau approuvent la loi sur les services d'identification électronique avec 58,2 pour cent de oui. Knonau a approuvé la loi, contrairement à son canton.","Sì alla legge sull'identificazione elettronica nel comune di Knonau: i cittadini hanno approvato il testo con il 58,2 percento dei voti. Il comune di Knonau approvando la legge è andato controcorrente rispetto al suo cantone."
8,92.7,92.7,7.3,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","Das E-ID-Gesetz ist in Maschwanden mit 92,7 Prozent der Stimmen angenommen worden. Maschwanden hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","A Maschwanden, les habitants sont favorables à la loi sur les services d'identification électronique avec 92,7 pour cent de oui. Maschwanden a approuvé la loi, contrairement à son canton.","I cittadini di Maschwanden si sono espressi a favore della legge sull'identificazione elettronica. Il testo è stato approvato con il 92,7 percento dei voti. Il comune di Maschwanden approvando la legge è andato controcorrente rispetto al suo cantone."
9,33.6,33.6,66.4,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","66,4 Prozent der Stimmbürgerinnen und Stimmbürger von Mettmenstetten haben sich gegen das E-ID-Gesetz ausgesprochen. Mettmenstetten hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","A Mettmenstetten, les habitants disent non à 66,4 pour cent à la loi sur les services d'identification électronique. Mettmenstetten a rejeté la loi, tout comme son canton.","I cittadini di Mettmenstetten si sono espressi contro la legge sull'identificazione elettronica. Il testo è stato respinto con il 66,4 percento dei voti. Il comune di Mettmenstetten bocciando la legge si è espresso come il suo cantone."
10,10.1,10.1,89.9,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","89,9 Prozent der Stimmbürgerinnen und Stimmbürger von Obfelden haben sich gegen das E-ID-Gesetz ausgesprochen. Obfelden hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","A Obfelden, les habitants disent non à 89,9 pour cent à la loi sur les services d'identification électronique. Obfelden a rejeté la loi, tout comme son canton.","I cittadini di Obfelden si sono espressi contro la legge sull'identificazione elettronica. Il testo è stato respinto con il 89,9 percento dei voti. Il comune di Obfelden bocciando la legge si è espresso come il suo cantone."
