"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,50,0,0,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
2,50,0,0,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3,50,0,0,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
4,56,56,44,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","56 Prozent der Stimmbürgerinnen und Stimmbürger von Hausen am Albis haben für das Freihandelsabkommen mit Indonesien gestimmt.","A Hausen am Albis, les habitants disent oui à 56 pour cent à l'accord de libre-échange avec l'Indonésie.","Nel comune di Hausen am Albis l'accordo di libero scambio con l'Indonesia è stato approvato con il 56 percento dei voti."
5,63.5,63.5,36.5,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Mit 63,5 Prozent Ja hat sich Hedingen für das Freihandelsabkommen mit Indonesien ausgesprochen.","Les habitants de Hedingen approuvent l'accord de libre-échange avec l'Indonésie avec 63,5 pour cent de oui.","Sì all'accordo di libero scambio con l'Indonesia nel comune di Hedingen: i cittadini hanno approvato il testo con il 63,5 percento dei voti."
6,55.5,55.5,44.5,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","55,5 Prozent der Stimmbürgerinnen und Stimmbürger von Kappel am Albis haben Ja gesagt zum Freihandelsabkommen mit Indonesien.","C'est oui à 55,5 pour cent à l'accord de libre-échange avec l'Indonésie à Kappel am Albis.","Con il 55,5 percento di ""sì"", i cittadini del comune di Kappel am Albis hanno accolto il partenariato economico globale con l'Indonesia."
7,60.7,60.7,39.3,"Knonau ZH","Knonau (ZH)","Knonau ZH","Mit 60,7 Prozent Ja hat sich Knonau für das Freihandelsabkommen mit Indonesien ausgesprochen.","Les habitants de Knonau approuvent l'accord de libre-échange avec l'Indonésie avec 60,7 pour cent de oui.","Sì all'accordo di libero scambio con l'Indonesia nel comune di Knonau: i cittadini hanno approvato il testo con il 60,7 percento dei voti."
8,55.6,55.6,44.4,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","Das Freihandelsabkommen mit Indonesien ist in Maschwanden mit 149 Ja zu 119 Nein angenommen worden. Das entspricht 55,6 Prozent der Stimmen.","A Maschwanden, les habitants sont favorables à l'accord de libre-échange avec l'Indonésie avec 55,6 pour cent de oui.","I cittadini di Maschwanden si sono espressi a favore dell'accordo di libero scambio con l'Indonesia. Il testo è stato approvato con il 55,6 percento dei voti."
9,50,0,0,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
10,60.6,60.6,39.4,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","60,6 Prozent der Stimmbürgerinnen und Stimmbürger von Obfelden haben für das Freihandelsabkommen mit Indonesien gestimmt.","A Obfelden, les habitants disent oui à 60,6 pour cent à l'accord de libre-échange avec l'Indonésie.","Nel comune di Obfelden l'accordo di libero scambio con l'Indonesia è stato approvato con il 60,6 percento dei voti."
11,50,0,0,"Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
12,52.1,52.1,47.9,"Rifferswil ZH","Rifferswil (ZH)","Rifferswil ZH","Mit 52,1 Prozent Ja hat sich Rifferswil für das Freihandelsabkommen mit Indonesien ausgesprochen.","Les habitants de Rifferswil approuvent l'accord de libre-échange avec l'Indonésie avec 52,1 pour cent de oui.","Sì all'accordo di libero scambio con l'Indonesia nel comune di Rifferswil: i cittadini hanno approvato il testo con il 52,1 percento dei voti."
13,62.3,62.3,37.7,"Stallikon ZH","Stallikon (ZH)","Stallikon ZH","62,3 Prozent der Stimmbürgerinnen und Stimmbürger von Stallikon haben für das Freihandelsabkommen mit Indonesien gestimmt.","A Stallikon, les habitants disent oui à 62,3 pour cent à l'accord de libre-échange avec l'Indonésie.","Nel comune di Stallikon l'accordo di libero scambio con l'Indonesia è stato approvato con il 62,3 percento dei voti."
14,50,0,0,"Wettswil am Albis ZH","Wettswil am Albis (ZH)","Wettswil am Albis ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
